    Year (Census)
    Proportion of populations extant, SE
    Proportion of populations going extinct for the first time in year, SE
    Deterministic growth, Stochastic growth, SE, SD
    Mean population size (across extant populations), SE, SD
    Mean population size (across all populations), SE, SD
    Population-based model: No genetic data (12 skipped fields)



    Mean time to extinction, SE, SD
    Median time to extinction
    GSVars(3): Mean, SE, SD
Year;PExtant;SE(PExtant);PExtinct;SE(PExtinct);r-det;r-stoch;SE(r);SD(r);Nextant;SE(Nextant);SD(Nextant);Nall;SE(Nall);SD(Nall);Het;SE(Het);SD(Het);Inbr;SE(Inbr);SD(Inbr);Nalleles;SE(Nalleles);SD(Nalleles);Nlethals;SE(Nlethals);SD(Nlethals);TE;SE(TE);SD(TE);medTE;NRANDx;SE(NRANDx);SD(NRANDx);immigBord;SE(immigBord);SD(immigBord);immigSC;SE(immigSC);SD(immigSC)
Control_Border11
Population 1: Border
0; 1.0000; 0.0000; 0.0000; 0.0000; 0.2668;      0;      0;      0; 632.00; 0.00; 0.00; 632.00; 0.00; 0.00; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0; 0.0066; 0.0001; 0.9953; 14.4244; 0.0006; 6.3560; 2.4902; 0.0001; 1.1222
1; 1.0000; 0.0000; 0.0000; 0.0000; 0.2668; 0.1037; 0.0058; 0.5771; 803.68; 3.67; 367.12; 803.68; 0.04; 367.12; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0; -0.0237; 0.0001; 1.0007; 14.3512; 0.0006; 6.3580; 2.4952; 0.0001; 1.1188
2; 1.0000; 0.0000; 0.0000; 0.0000; 0.2668; 0.0945; 0.0058; 0.5792; 1010.56; 6.93; 693.29; 1010.56; 0.07; 693.29; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0; 0.0058; 0.0001; 1.0056; 14.5637; 0.0006; 6.3348; 2.5083; 0.0001; 1.1190
3; 1.0000; 0.0000; 0.0000; 0.0000; 0.2668; 0.1050; 0.0058; 0.5776; 1277.50; 11.17; 1116.88; 1277.50; 0.11; 1116.88; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0; 0.0152; 0.0001; 1.0019; 14.5381; 0.0006; 6.3758; 2.5205; 0.0001; 1.1222
4; 1.0000; 0.0000; 0.0000; 0.0000; 0.2668; 0.1062; 0.0058; 0.5799; 1611.79; 16.92; 1691.89; 1611.79; 0.17; 1691.89; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0; 0.0016; 0.0001; 1.0056; 14.5046; 0.0006; 6.3845; 2.5004; 0.0001; 1.1210
5; 1.0000; 0.0000; 0.0000; 0.0000; 0.2668; 0.1047; 0.0058; 0.5813; 2012.52; 24.85; 2485.34; 2012.52; 0.25; 2485.34; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0; -0.0102; 0.0001; 1.0047; 14.3643; 0.0006; 6.3042; 2.5109; 0.0001; 1.1205
6; 1.0000; 0.0000; 0.0000; 0.0000; 0.2668; 0.0949; 0.0058; 0.5776; 2503.33; 35.82; 3582.27; 2503.33; 0.36; 3582.27; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0; 0.0072; 0.0001; 1.0195; 14.4106; 0.0006; 6.3283; 2.4799; 0.0001; 1.1199
7; 1.0000; 0.0000; 0.0000; 0.0000; 0.2668; 0.1038; 0.0058; 0.5765; 3114.57; 51.65; 5165.48; 3114.57; 0.52; 5165.48; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0; -0.0066; 0.0001; 0.9976; 14.4121; 0.0006; 6.3448; 2.5077; 0.0001; 1.1166
8; 1.0000; 0.0000; 0.0000; 0.0000; 0.2668; 0.0975; 0.0058; 0.5774; 3835.76; 71.90; 7190.23; 3835.76; 0.72; 7190.23; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0; -0.0062; 0.0001; 0.9992; 14.5164; 0.0006; 6.3345; 2.5064; 0.0001; 1.1191
9; 1.0000; 0.0000; 0.0000; 0.0000; 0.2668; 0.1054; 0.0057; 0.5740; 4743.05; 94.64; 9463.68; 4743.05; 0.95; 9463.68; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0; -0.0109; 0.0001; 0.9897; 14.5212; 0.0006; 6.3404; 2.5069; 0.0001; 1.1174
10; 1.0000; 0.0000; 0.0000; 0.0000; 0.2668; 0.0936; 0.0059; 0.5876; 5769.82; 120.12; 12012.21; 5769.82; 1.20; 12012.21; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0; 0.0035; 0.0001; 1.0043; 14.5321; 0.0006; 6.3173; 2.5235; 0.0001; 1.1213
11; 1.0000; 0.0000; 0.0000; 0.0000; 0.2668; 0.1042; 0.0058; 0.5757; 7331.03; 175.84; 17583.52; 7331.03; 1.76; 17583.52; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0; 0.0046; 0.0001; 0.9906; 14.5102; 0.0006; 6.3657; 2.5121; 0.0001; 1.1257
12; 1.0000; 0.0000; 0.0000; 0.0000; 0.2668; 0.1067; 0.0058; 0.5806; 9242.65; 238.97; 23897.17; 9242.65; 2.39; 23897.17; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0; 0.0072; 0.0001; 0.9924; 14.5807; 0.0006; 6.3553; 2.5160; 0.0001; 1.1150
13; 1.0000; 0.0000; 0.0000; 0.0000; 0.2668; 0.1059; 0.0058; 0.5752; 11443.90; 310.57; 31056.69; 11443.90; 3.11; 31056.69; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0; 0.0109; 0.0001; 0.9942; 14.4334; 0.0006; 6.3326; 2.5000; 0.0001; 1.1208
14; 1.0000; 0.0000; 0.0000; 0.0000; 0.2668; 0.0989; 0.0059; 0.5881; 14180.53; 402.90; 40290.39; 14180.53; 4.03; 40290.39; 0.0000; 0.0000; 0.0000; 1.0000; 0.0000; 0.0000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0; 0.0042; 0.0001; 1.0018; 14.6057; 0.0006; 6.3536; 2.5013; 0.0001; 1.1274
